Array Design Name	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Comment[AdditionalFile:CDF]	Yeast_2.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-47
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	unknown_surface_type
Surface Type Term Accession Number	#unknown_surface_type
Surface Type Term Source REF	The MGED Ontology
Term Source Name	The MGED Ontology	affymetrix_netaffx	cp450	ec	embl	genbank	go	interpro	pkr_hanks	scop	sgd
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://godatabase.org	http://www.ebi.ac.uk/interpro	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/
Term Source Version										
Comment[AdditionalFile:txt]	A-AFFY-47_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[interpro]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[go]	Composite Element Database Entry[genbank]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
AFFX-r2-Sp-RIP1-3_at	AFFX-r2-Sp-RIP1-3	IPR004192	AFFX-r2-Sp-RIP1-3_at							
AFFX-r2-Sp-RIP1-M_at	AFFX-r2-Sp-RIP1-M	IPR005806	AFFX-r2-Sp-RIP1-M_at							
AFFX-r2-Sp-RIP1-5_at	AFFX-r2-Sp-RIP1-5	IPR004192	AFFX-r2-Sp-RIP1-5_at							
AFFX-r2-Sp-TFIID-3_at	AFFX-r2-Sp-TFIID-3	IPR000814	AFFX-r2-Sp-TFIID-3_at							
AFFX-r2-Sp-TFIID-M_at	AFFX-r2-Sp-TFIID-M	IPR000814	AFFX-r2-Sp-TFIID-M_at							
AFFX-r2-Sp-TFIID-5_at	AFFX-r2-Sp-TFIID-5	IPR000814	AFFX-r2-Sp-TFIID-5_at							
AFFX-r2-Sp-ACT1-3_at	AFFX-r2-Sp-ACT1-3	IPR004000	AFFX-r2-Sp-ACT1-3_at							
AFFX-r2-Sp-ACT1-M_at	AFFX-r2-Sp-ACT1-M	IPR004000	AFFX-r2-Sp-ACT1-M_at							
AFFX-r2-Sp-ACT1-5_at	AFFX-r2-Sp-ACT1-5	IPR004000	AFFX-r2-Sp-ACT1-5_at							
AFFX-r2-Sp-CC338.15-3_at	AFFX-r2-Sp-CC338.15-3	IPR005013	AFFX-r2-Sp-CC338.15-3_at							
AFFX-r2-Sp-CC338.15-M_at	AFFX-r2-Sp-CC338.15-M	IPR005013	AFFX-r2-Sp-CC338.15-M_at							
AFFX-r2-Sp-CC338.15-5_at	AFFX-r2-Sp-CC338.15-5	IPR005013	AFFX-r2-Sp-CC338.15-5_at							
AFFX-r2-Sp-GPD3-3_s_at	AFFX-r2-Sp-GPD3-3	IPR000173	AFFX-r2-Sp-GPD3-3_s_at							
AFFX-r2-Sp-GPD3-M_at	AFFX-r2-Sp-GPD3-M		AFFX-r2-Sp-GPD3-M_at							
AFFX-r2-Sp-GPD3-M_s_at	AFFX-r2-Sp-GPD3-M	IPR000173	AFFX-r2-Sp-GPD3-M_s_at							
AFFX-r2-Sp-GPD3-5_at	AFFX-r2-Sp-GPD3-5		AFFX-r2-Sp-GPD3-5_at							
AFFX-r2-Sp-SRB4-3_at	AFFX-r2-Sp-SRB4-3		AFFX-r2-Sp-SRB4-3_at							
AFFX-r2-Sp-SRB4-M_at	AFFX-r2-Sp-SRB4-M		AFFX-r2-Sp-SRB4-M_at							
AFFX-r2-Sp-SRB4-5_at	AFFX-r2-Sp-SRB4-5		AFFX-r2-Sp-SRB4-5_at							
AFFX-Scv2-r2-Bs-dap-3_at	AFFX-Scv2-r2-Bs-dap-3		AFFX-Scv2-r2-Bs-dap-3_at							
AFFX-Scv2-r2-Bs-dap-5_at	AFFX-Scv2-r2-Bs-dap-5		AFFX-Scv2-r2-Bs-dap-5_at							
AFFX-Scv2-r2-Bs-dap-M_at	AFFX-Scv2-r2-Bs-dap-M		AFFX-Scv2-r2-Bs-dap-M_at							
AFFX-Scv2-r2-Bs-lys-3_at	AFFX-Scv2-r2-Bs-lys-3		AFFX-Scv2-r2-Bs-lys-3_at							
AFFX-Scv2-r2-Bs-lys-5_at	AFFX-Scv2-r2-Bs-lys-5		AFFX-Scv2-r2-Bs-lys-5_at							
AFFX-Scv2-r2-Bs-lys-M_at	AFFX-Scv2-r2-Bs-lys-M		AFFX-Scv2-r2-Bs-lys-M_at							
AFFX-Scv2-r2-Bs-phe-3_at	AFFX-Scv2-r2-Bs-phe-3		AFFX-Scv2-r2-Bs-phe-3_at							
AFFX-Scv2-r2-Bs-phe-5_at	AFFX-Scv2-r2-Bs-phe-5		AFFX-Scv2-r2-Bs-phe-5_at							
AFFX-Scv2-r2-Bs-phe-M_at	AFFX-Scv2-r2-Bs-phe-M		AFFX-Scv2-r2-Bs-phe-M_at							
AFFX-Scv2-TrpnX-3_at	AFFX-Scv2-TrpnX-3		AFFX-Scv2-TrpnX-3_at							
AFFX-Scv2-TrpnX-5_at	AFFX-Scv2-TrpnX-5		AFFX-Scv2-TrpnX-5_at							
AFFX-Scv2-TrpnX-M_at	AFFX-Scv2-TrpnX-M		AFFX-Scv2-TrpnX-M_at							
AFFX-Scv2-r2-Ec-bioB-3_at	AFFX-Scv2-r2-Ec-bioB-3		AFFX-Scv2-r2-Ec-bioB-3_at							
AFFX-Scv2-r2-Ec-bioB-5_at	AFFX-Scv2-r2-Ec-bioB-5		AFFX-Scv2-r2-Ec-bioB-5_at							
AFFX-Scv2-r2-Ec-bioB-M_at	AFFX-Scv2-r2-Ec-bioB-M		AFFX-Scv2-r2-Ec-bioB-M_at							
AFFX-Scv2-r2-Ec-bioC-3_at	AFFX-Scv2-r2-Ec-bioC-3		AFFX-Scv2-r2-Ec-bioC-3_at							
AFFX-Scv2-r2-Ec-bioC-5_at	AFFX-Scv2-r2-Ec-bioC-5		AFFX-Scv2-r2-Ec-bioC-5_at							
AFFX-Scv2-r2-Ec-bioD-3_at	AFFX-Scv2-r2-Ec-bioD-3		AFFX-Scv2-r2-Ec-bioD-3_at							
AFFX-Scv2-r2-Ec-bioD-5_at	AFFX-Scv2-r2-Ec-bioD-5		AFFX-Scv2-r2-Ec-bioD-5_at							
AFFX-Scv2-r2-P1-cre-3_s_at	AFFX-Scv2-r2-P1-cre-3		AFFX-Scv2-r2-P1-cre-3_s_at							
AFFX-Scv2-r2-P1-cre-5_s_at	AFFX-Scv2-r2-P1-cre-5		AFFX-Scv2-r2-P1-cre-5_s_at							
AFFX-Scv2-r2-Bs-thr-3_s_at	AFFX-Scv2-r2-Bs-thr-3		AFFX-Scv2-r2-Bs-thr-3_s_at							
AFFX-Scv2-r2-Bs-thr-5_s_at	AFFX-Scv2-r2-Bs-thr-5		AFFX-Scv2-r2-Bs-thr-5_s_at							
AFFX-Scv2-r2-Bs-thr-M_s_at	AFFX-Scv2-r2-Bs-thr-M		AFFX-Scv2-r2-Bs-thr-M_s_at							
RPTR-Sc-AY342347_at	AFFX-Sc-AY342347		RPTR-Sc-AY342347_at							
RPTR-Sc-U43284-1_s_at	AFFX-Sc-U43284-1		RPTR-Sc-U43284-1_s_at							
RPTR-Sc-AJ002682-1_s_at	AFFX-Sc-AJ002682-1		RPTR-Sc-AJ002682-1_s_at							
RPTR-Sc-AJ002682-2_s_at	AFFX-Sc-AJ002682-2		RPTR-Sc-AJ002682-2_s_at							
RPTR-Sc-X58791-1_at	AFFX-Sc-X58791-1		RPTR-Sc-X58791-1_at							
RPTR-Sc-X58791-1_s_at	AFFX-Sc-X58791-1		RPTR-Sc-X58791-1_s_at							
RPTR-Sc-X58791-2_s_at	AFFX-Sc-X58791-2		RPTR-Sc-X58791-2_s_at							
RPTR-Sc-M10961-1_at	AFFX-Sc-M10961-1		RPTR-Sc-M10961-1_at							
RPTR-Sc-M10961-2_at	AFFX-Sc-M10961-2		RPTR-Sc-M10961-2_at							
RPTR-Sc-M10961-4_at	AFFX-Sc-M10961-4		RPTR-Sc-M10961-4_at							
RPTR-Sc-A00196-1_s_at	AFFX-Sc-A00196-1		RPTR-Sc-A00196-1_s_at							
RPTR-Sc-M15077-1_at	AFFX-Sc-M15077-1		RPTR-Sc-M15077-1_at							
RPTR-Sc-M15077-1_s_at	AFFX-Sc-M15077-1		RPTR-Sc-M15077-1_s_at							
RPTR-Sc-M62653-1_at	AFFX-Sc-M62653-1		RPTR-Sc-M62653-1_at							
RPTR-Sc-M62653-1_s_at	AFFX-Sc-M62653-1		RPTR-Sc-M62653-1_s_at							
RPTR-Sc-U47295-1_at	AFFX-Sc-U47295-1		RPTR-Sc-U47295-1_at							
RPTR-Sc-AJ132968-1_at	AFFX-Sc-AJ132968-1		RPTR-Sc-AJ132968-1_at							
RPTR-Sc-NM_131175-1_at	AFFX-Sc-NM_131175-1		RPTR-Sc-NM_131175-1_at							
RPTR-Sc-J01636-1_at	AFFX-Sc-J01636-1		RPTR-Sc-J01636-1_at							
RPTR-Sc-E00696-1_s_at	AFFX-Sc-E00696-1		RPTR-Sc-E00696-1_s_at							
RPTR-Sc-J01636-3_at	AFFX-Sc-J01636-3		RPTR-Sc-J01636-3_at							
RPTR-Sc-J01636-4_at	AFFX-Sc-J01636-4		RPTR-Sc-J01636-4_at							
RPTR-Sc-ECOLOXL_at	AFFX-Sc-ECOLOXL		RPTR-Sc-ECOLOXL_at							
RPTR-Sc-ECOLOXL_x_at	AFFX-Sc-ECOLOXL		RPTR-Sc-ECOLOXL_x_at							
RPTR-Sc-ECOLOXB_at	AFFX-Sc-ECOLOXB		RPTR-Sc-ECOLOXB_at							
RPTR-Sc-K01486-1_s_at	AFFX-Sc-K01486-1	IPR007219	RPTR-Sc-K01486-1_s_at	a.4.5.MarR-like transcriptional regulators		GO:0005634	AAA96383	S0006169		
RPTR-Sc-X03453-1_at	AFFX-Sc-X03453-1		RPTR-Sc-X03453-1_at							
RPTR-Sc-AY056050-1_at	AFFX-Sc-AY056050-1		RPTR-Sc-AY056050-1_at							
