Source Name	Characteristics [strain]	Characteristics [genotype]	Characteristics [sex]	Characteristics [organism]	Characteristics [biosource type]	Characteristics [individual]	Provider	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [time]	Unit [time unit]	Factor Value [phenotype]	Factor Value [temperature]	Unit [temperature unit]
CDC13 time60 DLY3108	S288C	MAT&#945; mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY3108	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_CDC13 time60 DLY3108	total_RNA	P-AFFY-2	L_CDC13 time60 DLY3108	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_CDC13 time60 DLY3108	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_6857.CEL	Gre_MCA_6857.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	60	minute	control	30	degree celsius
CDC13 time60 DLY3107	S288C	MAT&#945; mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY3107	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_CDC13 time60 DLY3107	total_RNA	P-AFFY-2	L_CDC13 time60 DLY3107	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_CDC13 time60 DLY3107	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_6052.CEL	Gre_MCA_6052.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	60	minute	control	30	degree celsius
cdc13-1 time120 DLY3102	S288C	MAT&#945; cdc13-1-int mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY3102	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_cdc13-1 time120 DLY3102	total_RNA	P-AFFY-2	L_cdc13-1 time120 DLY3102	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_cdc13-1 time120 DLY3102	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_2822.CEL	Gre_MCA_2822.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	120	minute	telomere uncapping	30	degree celsius
cdc13-1 time120 DLY3100	S288C	MAT&#945; cdc13-1-int mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY3100	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_cdc13-1 time120 DLY3100	total_RNA	P-AFFY-2	L_cdc13-1 time120 DLY3100	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_cdc13-1 time120 DLY3100	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_8454.CEL	Gre_MCA_8454.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	120	minute	telomere uncapping	30	degree celsius
cdc13-1 time120 DLY1622	S288C	MAT&#945; cdc13-1-int mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY1622	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_cdc13-1 time120 DLY1622	total_RNA	P-AFFY-2	L_cdc13-1 time120 DLY1622	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_cdc13-1 time120 DLY1622	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_5948.CEL	Gre_MCA_5948.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	120	minute	telomere uncapping	30	degree celsius
CDC13 time120 DLY1584	S288C	MAT&#945; mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY1584	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_CDC13 time120 DLY1584	total_RNA	P-AFFY-2	L_CDC13 time120 DLY1584	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_CDC13 time120 DLY1584	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_9147.CEL	Gre_MCA_9147.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	120	minute	control	30	degree celsius
CDC13 time120 DLY3108	S288C	MAT&#945; mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY3108	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_CDC13 time120 DLY3108	total_RNA	P-AFFY-2	L_CDC13 time120 DLY3108	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_CDC13 time120 DLY3108	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_7817.CEL	Gre_MCA_7817.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	120	minute	control	30	degree celsius
CDC13 time120 DLY3107	S288C	MAT&#945; mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY3107	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_CDC13 time120 DLY3107	total_RNA	P-AFFY-2	L_CDC13 time120 DLY3107	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_CDC13 time120 DLY3107	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_7528.CEL	Gre_MCA_7528.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	120	minute	control	30	degree celsius
cdc13-1 time180 DLY3100	S288C	MAT&#945; cdc13-1-int mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY3100	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_cdc13-1 time180 DLY3100	total_RNA	P-AFFY-2	L_cdc13-1 time180 DLY3100	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_cdc13-1 time180 DLY3100	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_1726.CEL	Gre_MCA_1726.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	180	minute	telomere uncapping	30	degree celsius
cdc13-1 time180 DLY1622	S288C	MAT&#945; cdc13-1-int mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY1622	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_cdc13-1 time180 DLY1622	total_RNA	P-AFFY-2	L_cdc13-1 time180 DLY1622	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_cdc13-1 time180 DLY1622	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_1103.CEL	Gre_MCA_1103.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	180	minute	telomere uncapping	30	degree celsius
cdc13-1 time180 DLY3102	S288C	MAT&#945; cdc13-1-int mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY3102	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_cdc13-1 time180 DLY3102	total_RNA	P-AFFY-2	L_cdc13-1 time180 DLY3102	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_cdc13-1 time180 DLY3102	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_2282.CEL	Gre_MCA_2282.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	180	minute	telomere uncapping	30	degree celsius
CDC13 time180 DLY1584	S288C	MAT&#945; mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY1584	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_CDC13 time180 DLY1584	total_RNA	P-AFFY-2	L_CDC13 time180 DLY1584	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_CDC13 time180 DLY1584	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_4108.CEL	Gre_MCA_4108.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	180	minute	control	30	degree celsius
CDC13 time180 DLY3108	S288C	MAT&#945; mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY3108	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_CDC13 time180 DLY3108	total_RNA	P-AFFY-2	L_CDC13 time180 DLY3108	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_CDC13 time180 DLY3108	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_7031.CEL	Gre_MCA_7031.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	180	minute	control	30	degree celsius
CDC13 time180 DLY3107	S288C	MAT&#945; mfa::MFA1pr-HIS3 can1 ura3 leu2 his3 lys2	mating_type_alpha	Saccharomyces cerevisiae	fresh_sample	DLY3107	Amanda Greenall, CISBAN (http://www.cisban.ac.uk)	P-MTAB-172	P-MTAB-173	P-MTAB-174	E_CDC13 time180 DLY3107	total_RNA	P-AFFY-2	L_CDC13 time180 DLY3107	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_CDC13 time180 DLY3107	A-AFFY-47	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-47	P-AFFY-6	Gre_MCA_8052.CEL	Gre_MCA_8052.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1551-processed-data-2495861631.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1551/E-MEXP-1551.processed.1.zip	180	minute	control	30	degree celsius
