!Gene Symbol	EGF_Baseline	EGF_Stimulus
CG32148	-0.43	1.38
p38a	-0.62	1.06
Golgin84	1.81	0.27
CG8750	-0.51	0.98
TMS1	0.32	-0.30
Cht3	0.86	0.91
CG42565	0.79	0.95
CG31106	-0.07	0.31
Cyp4d2	0.42	0.93
DOR	-1.61	-1.84
CG12620	0.17	0.21
CG33494	-1.15	-1.57
CG1902	-0.38	0.73
CG1340	-1.00	0.99
CG9068	-0.83	0.74
CG7839	-1.50	0.97
Sod	0.63	0.54
Pcmt	0.41	-0.19
CG4706	1.36	-0.85
CG18568	-0.61	-0.82
Mur82C	1.63	-0.87
Egfr	-8.29	-10.03
CG7705	-1.37	-0.48
CG4933	-0.98	-0.88
Alg-2	-0.87	-0.88
obst-A	-1.34	-0.71
TyrR	-1.34	-0.83
JhI-21	-1.09	0.76
wuho	-0.26	-0.57
enc	0.66	1.11
CG31648	-1.89	-1.44
CG13310	0.22	1.35
CG42656	1.00	0.25
CG10073	-1.55	-0.38
Aatf	-0.83	0.59
CG17717	-0.84	0.16
RpS24	0.90	-3.68
CG1265	0.78	0.44
CG1632	1.07	1.17
eIF4E-5	0.98	0.50
Pms2	-1.82	1.48
CG4658	-1.48	1.32
Faf	-1.22	-0.48
CG2118	-0.97	1.09
Su(var)3-3	-0.05	1.38
CG1246	0.46	-0.95
CG8046	-1.55	0.71
CG6015	1.14	1.09
CG17917	0.68	1.79
CG8272	1.25	1.28
NimB4	-1.09	-0.66
CG8915	0.56	-0.86
Eig71Ea	-0.72	0.82
SmD2	3.75	0.83
CG10911	-0.61	0.71
CG5290	-0.49	0.82
WDR79	-0.10	-1.39
CG9941	0.84	1.05
Adgf-A	-0.39	0.83
Gip	-0.27	0.88
CG31195	0.29	0.64
GEFmeso	-1.21	-1.23
CG18577	0.54	0.34
CG32392	-1.22	1.02
CG6201	-0.42	0.87
CG3604	1.56	0.97
Dll	0.96	1.68
CG10317	1.06	0.43
CG10494	0.44	1.16
Osi14	-1.59	1.08
mew	2.08	0.32
Lis-1	0.58	0.26
CG13557	-1.70	-1.67
Or22a	1.96	1.45
na	-1.58	-0.53
CG31675	-0.94	0.16
CG11356	0.81	-0.83
poly	1.09	-1.34
CG14185	-0.45	0.39
CG13308	-0.59	0.80
CG5174	0.63	-0.32
Gr59c	-1.53	1.07
mud	-1.20	-1.29
CG12535	1.07	0.71
RpS28a	-0.55	0.18
wry	-1.17	-1.50
CG7448	-1.32	-1.67
Hsc70-3	4.68	-1.29
CG3651	-0.78	-0.46
CG12540	-0.33	0.86
mmy	1.22	0.28
CG7168	1.14	-1.29
Tsp42Eq	-1.41	-1.02
CG5577	-0.76	1.25
kn	0.92	0.75
CG10864	1.71	-0.21
Las	0.60	0.86
l(2)35Bd	-0.93	1.10
Ugt	0.13	-0.36
subdued	-0.75	-0.74
Smvt	-0.63	-0.45
CG8297	0.55	0.57
l(1)G0136	-1.70	0.71
CG4678	-1.62	0.82
Vha13	1.94	-1.47
lectin-28C	-1.16	-0.50
CG3104	-0.17	1.10
CG1701	-1.36	-0.19
Sara	0.19	-0.11
danr	0.51	-0.18
ZnT77C	-1.49	0.97
CG14160	-0.77	0.46
CG30480	-0.80	-0.70
Dgk	2.00	1.41
CG6216	-0.58	1.05
CG14974	-1.31	0.80
mRpL4	-0.37	0.59
nmdyn-D6	-1.40	0.15
CG15522	2.20	-0.34
Start1	-0.97	-0.85
CG34450	1.29	-0.39
CG31178	0.52	-0.06
CG8950	0.67	1.68
nan	0.70	-1.05
CG9294	1.60	0.84
Rpt3	-1.09	-4.37
CG7616	0.15	-0.05
CG6937	-1.56	-0.43
CG4049	-1.34	-1.40
santa-maria	1.43	1.68
CG16908	0.48	-0.28
Mur18B	-1.01	1.67
pasha	-1.72	1.22
l(2)35Cc	-0.32	0.36
fred	-2.72	-2.09
CG30496	-1.64	-1.54
CG4036	-1.65	-0.79
CG42564	0.30	0.60
CG4702	0.39	-1.27
CG11168	-1.31	0.80
CG31627	0.51	-0.86
Obp50e	0.21	1.82
mRpS30	-0.21	0.29
CG13581	0.75	1.38
CG9669	1.19	-0.76
CG32068	-0.96	-0.97
Aats-phe	-0.95	-0.45
CG9336	0.84	0.67
CG7394	-0.69	-0.19
CG15390	-0.65	1.05
hd	0.51	0.44
CG3894	-1.25	-0.88
Eig71Eh	-1.50	-0.51
CG3008	-1.32	0.05
Wnt5	0.34	-0.38
CG9406	0.24	-1.06
CG14341	-1.33	0.37
CheB42a	-1.08	-0.63
CG7330	-0.63	-0.87
eca	-1.67	-1.10
retinin	-1.24	1.40
CG30383	1.65	1.08
CCHa2-R	1.12	3.48
CG15025	-1.53	0.98
CG3040	0.13	-0.95
CG34241	0.91	0.93
pgant2	-1.91	0.12
CG42541	-0.60	0.52
CR40354	0.99	0.83
CG2975	1.22	0.66
CG5568	-1.50	2.03
Ir10a	-1.04	0.67
CG30016	-1.12	-0.34
CG7016	0.89	0.50
CG8661	1.35	0.62
CG31635	-0.53	0.40
CG6617	0.86	-0.30
Tsp86D	-0.12	0.26
Ugt86Di	0.89	0.21
DopEcR	1.32	0.91
SerT	-0.44	1.27
CG15617	-1.43	-0.21
CG9289	-1.70	0.94
Got2	-1.49	0.52
bt	-1.79	0.53
CSN4	-0.27	-0.48
CG3544	-0.85	0.24
CG30354	0.44	0.67
Rpn6	2.58	-3.36
cbs	0.58	0.19
Mulk	1.09	0.17
CG31468	-1.76	-0.58
cwo	-2.40	-1.65
Orc5	-0.92	-0.46
Idgf1	0.66	0.74
Ppox	0.35	0.75
CG14883	0.29	0.78
Nach	2.79	0.74
P32	-0.86	-1.25
CG6401	-0.63	0.59
CG32100	0.85	1.18
CG32110	0.32	-0.38
Arpc2	0.96	-0.93
wrapper	-0.04	-1.09
Spn55B	-0.90	-1.34
Pex16	0.34	0.84
Best4	1.56	0.61
CG13110	-1.62	-0.26
mRpL32	-0.53	-0.74
CG34386	-1.34	0.41
CG11357	-1.29	-1.08
CG2444	-1.07	0.79
CG33757	1.41	0.37
Set	0.95	-1.04
AdoR	2.07	-0.83
CG33784	-1.45	0.54
PK1-R	0.62	1.14
ave	-0.49	-4.11
tsg	0.97	0.65
CG9125	0.56	0.71
CG4406	0.70	0.95
RhoGEF2	-0.20	0.87
Opa1	-1.26	0.89
pim	2.59	-3.39
eIF-5A	-0.12	-1.85
CG14854	-0.50	-0.29
Ip259	0.64	-2.16
CG17826	-0.57	0.23
CG5347	-0.51	0.54
CG1090	0.73	-1.06
CG33325	0.51	0.21
CG10470	-1.40	0.51
CG10361	-1.13	-0.81
shakB	1.84	-1.03
agt	0.82	0.72
CG4955	-1.04	-0.92
CG16736	1.55	-0.28
CG9662	-0.57	-0.79
l(1)G0469	0.87	0.75
CG17470	1.25	-1.19
Mctp	-1.62	-0.93
CG8080	0.71	-0.34
Taf7	-1.85	-0.36
CG7341	0.64	0.75
Hsf	-0.78	1.46
fsd	-0.60	-0.14
CG12338	1.57	-0.49
r-l	-2.30	-1.79
TwdlS	-0.73	1.10
wds	-1.01	-4.09
Rbp1	0.37	1.37
PGRP-SB2	-1.06	0.15
XNP	-1.97	0.58
wdn	-1.56	-0.45
Max	-0.17	-1.08
CG10219	-0.28	0.41
Ir31a	1.10	0.53
CG9215	-0.84	-2.11
CG34174	-1.58	-1.44
CG3457	-0.39	0.79
CG34034	-0.30	-0.73
CG2137	-0.96	0.37
DnaJ-H	-0.25	-1.20
Fmo-2	0.64	0.49
CR16735	1.21	0.49
bib	-1.28	-1.32
CG11570	0.70	-0.15
Pi3K68D	-0.09	-0.76
Neurochondrin	1.00	-0.82
CG31957	-1.35	-1.33
flfl	1.07	-3.96
Drs	-0.59	1.37
CG14946	-1.56	-0.26
CG14516	-0.48	0.13
Pdxk	-1.55	0.70
CG14044	-0.60	-0.78
Asciz	0.85	-0.56
CG11911	0.41	-0.20
CG15673	-0.31	-0.68
CG1636	-0.92	0.80
CG9372	1.28	0.30
Pomp	-1.28	-2.65
RpS11	3.19	-1.04
Sin	1.47	-0.99
Grp	0.09	-0.63
ND42	-2.85	0.37
CG11841	-1.56	0.47
Akt1	0.04	1.24
CG34223	-0.60	1.01
CG6966	1.20	-0.50
CG9663	-0.30	-0.32
CG8468	1.14	0.48
CG18673	1.30	0.93
Swip-1	-1.31	-1.05
CG34054	1.20	0.43
alphaTub67C	2.16	-1.37
CG6462	7.47	-0.44
CG13367	-0.76	-0.71
Yippee	-0.38	0.68
CG32945	1.70	1.00
CG17221	-1.11	-0.46
CG12042	-1.11	0.89
CG2921	0.70	0.93
CG4613	-1.94	-0.37
CG5045	0.94	0.81
Ir51b	1.09	0.72
Osi10	-1.78	0.98
alpha-Est7	-1.02	1.20
CG18808	-0.56	0.93
CG1638	-1.56	-0.86
RhoGAP16F	0.71	0.58
Nrx-IV	0.96	-1.41
Eb1	0.79	-1.05
Alr	-1.52	0.50
CG9997	1.06	1.33
Ccm3	1.01	0.84
CG31104	1.02	0.42
CG13898	-0.47	0.36
Acon	0.48	0.97
Gpo-1	-1.32	0.67
IM4	-1.28	-0.69
TwdlM	-1.62	0.34
CG17322	-0.76	-0.82
CG6465	1.29	-1.04
CG4749	7.85	0.61
CG13220	0.60	0.47
O-fut2	-0.86	0.50
Cht9	-0.23	0.27
CG11263	-0.65	-0.63
amd	-1.35	1.30
CG17141	-0.75	0.20
CG30401	0.34	-0.64
CG12655	0.54	0.85
CG7889	1.11	-1.45
CG31007	-0.68	-0.94
CG31921	-0.41	-1.22
SP1173	-0.51	0.44
ND23	-2.00	0.52
l(3)mbn	-0.55	-0.10
CG12278	1.01	1.48
CG12347	0.47	-0.63
CG13384	0.55	0.61
Rsf1	0.90	-1.06
CG6951	-2.07	-0.28
CR33294	-0.82	-0.39
dmpd	0.41	1.33
CG1550	-1.54	-0.29
CG10880	-1.32	0.95
CG15161	-2.00	0.28
CG13920	0.60	1.10
CG34113	1.08	1.02
Obp18a	-1.35	0.31
CG5044	-0.72	2.84
CG16890	0.36	-0.07
Pfk	0.80	-0.33
conu	-1.39	-0.80
CG5755	-0.56	0.47
CR18854	-0.47	-0.79
CG3285	-0.07	-0.18
CG6933	-0.34	1.02
CG30065	-1.49	0.31
CG31473	0.53	1.52
Gal	1.43	1.48
CG32694	1.26	-0.65
Obp56d	1.52	0.32
CG5522	0.34	-0.53
CG10182	-1.84	0.56
Dysb	2.19	1.84
slv	-0.78	0.79
ca	2.16	1.02
CG11601	-1.24	-1.24
CG11007	-0.23	0.77
CG7544	0.20	0.56
CG31460	-0.71	1.17
CG32150	-0.63	-0.85
Ir56a	-0.42	-0.38
CG10232	-0.63	0.35
CG32479	-1.63	1.51
CG17843	0.84	0.66
Rh4	1.40	-1.46
l(2)k14505	0.54	1.13
mnd	-0.75	-0.47
bdg	-1.92	-0.37
CG1732	1.86	0.97
Cg25C	-0.65	0.33
l(2)35Di	-1.13	0.50
CheA84a	-1.46	-0.42
CG10249	1.32	-0.45
CG18233	-0.80	-0.84
Gr93b	-2.38	-1.79
Cpr78E	0.90	0.98
CG10737	-1.26	0.49
Or46a	-1.87	-1.83
insc	1.58	0.52
CG17264	-1.45	0.84
CR42490	0.62	1.23
kcc	-0.52	1.28
caps	2.34	1.19
Ir62a	0.23	0.18
mt:ND6	0.76	1.01
CG31064	2.48	-1.93
CG10802	0.45	-0.61
CG12310	0.70	0.96
phr	-1.68	1.62
Cyp12a4	-1.32	0.88
Cpr47Ed	-0.56	0.51
Gclc	-0.79	-0.81
c12.2	-0.99	-0.38
fusl	1.46	1.73
CG17698	0.76	0.61
CG7357	0.74	0.67
Sp7	-1.26	0.37
CG33639	-1.97	1.07
CG4199	-1.15	-1.46
CG9101	-0.97	-0.90
shn	-1.18	-1.54
CG14383	-1.61	0.24
Inx2	1.28	0.59
CG17777	1.25	1.98
Wsck	1.07	-0.88
CG1504	-0.38	-0.22
CG15756	0.82	0.31
CG7550	-0.91	0.69
SIP3	-0.37	-0.40
Or43a	-1.01	0.33
RhoU	1.23	1.62
CG13722	-1.30	-1.20
CG13540	-1.31	0.90
CG11076	0.74	-0.12
l(2)k01209	-0.11	-0.88
CG10166	1.21	-0.42
yellow-b	0.84	0.71
Syt7	-1.35	0.73
CG15528	1.25	-1.26
TAF1B	1.20	-0.95
CG5177	-0.74	-0.44
CR18217	-1.73	-1.01
CG8993	0.74	-1.29
CG14671	-1.06	-0.33
Yp1	1.15	-0.28
gnu	0.52	-0.91
l(3)07882	-1.15	-0.84
CG5664	-0.40	1.23
CG2909	0.67	-0.44
mod(r)	-1.19	-0.71
hng2	1.10	-0.42
CG9249	-0.47	1.57
CG16710	-1.52	-0.76
CG7589	-0.65	0.85
CR32835	-0.82	-1.33
nonA-l	-0.33	1.14
CG14829	-1.69	0.47
PCNA	1.71	-1.07
CG9754	-0.97	0.14
Hus1-like	0.81	4.71
yellow-g	-0.12	0.46
Ref2	-0.80	0.42
mei-W68	0.39	-0.46
Try29F	-1.12	0.14
Tpi	0.92	0.79
l(2)35Be	0.14	1.12
CG18368	0.39	0.30
CG7028	0.75	0.84
Ama	1.72	0.58
CG10253	-0.47	1.28
CG17819	-1.05	0.95
CG10337	-2.10	1.57
CG9123	-1.50	-0.94
CG9853	1.18	0.92
CG42514	-0.98	0.47
CG13868	2.96	0.42
Cerk	-2.00	0.75
kel	1.05	0.35
Pak3	2.51	-2.07
CG7120	-0.98	-0.25
CG32107	0.70	-0.81
CG4239	0.84	-0.59
CG33308	0.74	-1.80
CG1399	-1.68	1.90
ubl	-1.31	-0.69
CG42597	0.47	0.72
CG7304	-0.25	0.92
mRpL17	-0.54	-0.33
CG11878	1.56	-0.35
Smg6	-0.93	-1.20
CG17298	0.50	0.73
CG9512	-1.32	-0.32
CG11741	-1.59	-0.27
CG11291	0.34	0.30
CG14253	-0.91	0.55
CG12783	0.22	0.08
Nelf-A	0.19	-1.59
CG14838	-1.54	0.66
ari-1	-0.99	1.24
cp309	1.16	1.27
Incenp	1.44	1.26
CG4630	-0.88	0.62
CG12057	-1.43	-0.93
CG13091	-1.13	0.23
CR1075	0.58	-0.47
CG9427	0.70	0.92
Tg	0.63	-0.53
Tk	-1.46	1.46
slif	-0.51	0.87
lama	-0.41	1.00
CG3501	1.11	0.34
CG13021	-1.44	-0.79
CG15483	0.70	-1.17
CG9040	-0.86	1.77
yellow-e3	-0.77	-0.23
mge	-0.31	-0.62
CG34394	1.41	-1.70
Chd3	-2.06	-1.45
CG33125	0.80	0.34
CG17959	1.51	0.65
CG17209	1.30	0.88
CG8397	0.49	0.73
hay	-0.23	0.82
c(2)M	-0.85	-0.92
CG9500	0.98	0.99
CG4238	-1.34	-0.62
CG7376	-1.30	-1.59
e	-0.14	-1.01
CG6388	0.48	-1.03
CG13322	-0.83	0.91
Fit1	0.36	-0.83
CG34133	0.55	0.81
CG14630	0.47	0.74
Pop2	3.09	-4.17
Cpr49Ac	-0.77	1.50
spz5	0.54	0.90
CG11753	0.81	0.67
RpII18	6.63	-1.45
CG33259	-1.17	0.91
CG32117	1.36	1.49
Mst33A	-0.21	0.82
CG15708	-0.48	-0.58
CG15211	-0.56	1.25
CR32385	-1.66	-1.58
Cp7Fb	0.57	-0.83
UGP	0.92	1.73
CG31544	1.67	1.59
Keap1	-1.21	-0.45
Nup205	0.42	0.92
CG16817	1.44	1.00
CG3223	1.11	-0.99
Mcm10	-0.87	-1.38
Tim9a	1.04	-0.69
Aps	0.19	-0.41
Dgkepsilon	0.85	1.67
eIF5	1.16	-0.97
Dhap-at	0.52	-0.90
CG3793	-0.85	0.68
CG17904	-0.65	1.26
CG6178	-1.50	0.56
CG12877	-1.06	0.48
mRpS18C	-1.75	0.80
CG42697	-1.43	0.37
CG32085	-0.91	1.41
Gr64c	0.53	0.60
Cpr67B	-0.31	-0.71
CG10869	0.75	0.74
CG15784	-0.80	-0.34
CG13028	-1.17	-1.12
MED10	2.89	-0.49
CG6661	-1.11	0.66
obst-J	0.83	0.58
CG16824	2.67	-0.81
PH4alphaPV	-1.32	-1.34
mei-41	-0.79	-0.56
CG2053	0.27	-0.42
CG5327	1.15	0.75
CG10126	0.78	1.20
RhoGAP1A	-0.54	0.96
CG13325	-0.58	-1.06
CG7956	-1.73	0.57
CG10589	1.17	0.80
CG18598	-1.20	0.37
CG8001	0.90	1.45
CG7800	-0.97	0.25
CG8078	0.60	0.84
Letm1	-0.52	-1.14
S2P	0.51	0.78
Prosbeta5R1	-1.80	1.09
AdSS	1.10	0.50
CG17118	0.54	-0.89
Ssrp	-2.13	-4.16
CG8243	-1.71	0.54
Arp10	-0.82	-1.18
SCOT	0.42	-0.23
Ddc	-1.86	0.69
Hakai	-1.01	1.16
CG7339	-0.39	0.69
CG13749	-1.04	0.10
CG6163	0.22	-0.06
CG4259	-0.70	1.31
CG4666	-0.47	0.13
CG7079	-0.57	0.32
CG6659	0.69	-0.52
l(1)G0007	0.76	1.47
Oga	-2.34	-1.98
CG42343	-1.44	-1.48
CG12256	1.49	0.31
nemy	-2.21	1.34
CG15373	-0.81	0.53
CG5084	-1.31	-0.48
CG30076	0.70	-1.06
CG10326	-0.42	1.46
CG10973	-1.32	0.83
CG14011	-0.31	0.46
dpn	-0.91	0.54
CG9813	1.12	-1.32
CG11165	-1.03	-0.31
Gug	-0.33	0.24
Poc1	0.90	1.63
CG14971	-1.28	1.11
Dhit	-0.25	-0.62
CG34429	0.75	-0.36
Tsp42Er	-0.68	0.40
Dhc36C	0.62	0.50
sesB	-1.55	-0.26
CG3921	1.14	2.12
CG10463	-0.76	-1.34
wnd	1.12	0.80
ppk10	-0.38	-0.30
Ppn	1.21	-0.47
CG15549	1.27	-0.16
CG15728	-1.71	-1.83
HIPP1	-0.39	1.08
PpV	0.07	1.05
Swim	1.16	0.39
CG31802	0.79	-0.64
CG9171	0.40	1.57
CG4753	-0.99	-0.37
CG7878	-0.55	0.67
CG13875	-1.24	1.33
spag	-1.21	-1.01
Anp	-0.45	1.14
Nipsnap	1.84	1.43
CheB53b	-1.09	-0.55
Pex5	0.52	0.59
Klp68D	0.45	-0.56
CG3280	-1.25	-0.08
CG13704	-1.60	-0.58
Zpr1	-0.51	0.28
CG12567	0.26	1.31
SRm160	-0.25	-0.72
CG15142	-0.80	0.83
CG7564	-1.79	-2.20
CG8490	-1.47	-0.71
CG33140	0.21	-0.61
Cyp4ac1	-0.85	1.34
CG18155	-1.31	0.90
CG14490	0.48	0.93
CG31800	-1.63	-1.64
CG42582	0.20	0.46
CG15080	-1.50	0.74
roX2	0.56	0.46
zormin	-1.67	1.44
CG1537	0.82	2.46
CG2964	0.24	-1.14
CG4942	0.28	0.64
CG10927	0.41	0.64
CG12736	-0.80	1.11
CG13463	1.37	-0.42
Inx5	-0.80	-0.47
CG2528	-2.01	0.32
Gapdh2	1.20	0.65
cpx	1.29	1.28
Wnt10	-1.14	-1.43
CG14022	0.88	-0.80
CG15525	-1.03	0.15
CG14609	1.55	-0.18
fd59A	0.40	-0.48
WRNexo	-0.81	-1.13
CG18815	-0.29	0.99
CG18213	0.67	1.17
Vps2	0.15	-1.73
CG5339	-0.33	1.23
Sc2	-0.78	-1.95
CG16926	-1.21	-0.31
CG12133	0.29	0.93
CG4271	-0.75	0.11
hui	0.99	0.46
blw	-0.56	0.43
futsch	2.73	-1.83
CG3831	0.60	0.30
CG13766	-1.82	1.59
CG12231	0.51	0.61
Ir68b	0.74	0.12
Eno	1.45	-1.53
Nipped-B	-0.48	1.32
CG12268	-0.70	0.19
CG14866	0.75	1.16
CG42357	1.00	0.37
CG41520	-0.76	0.78
Prp18	0.34	1.31
jhamt	-0.68	-0.68
CG17564	-1.91	-0.26
CG31789	0.78	1.47
RfC3	0.97	0.43
CG6000	-0.11	0.94
CG1126	0.36	0.52
CG5665	0.75	0.25
Jabba	0.85	1.91
Desat2	1.41	0.55
CG12200	-0.86	-0.65
CG11626	-1.02	1.04
dx	-0.21	0.46
CG10795	0.98	0.34
CG7084	-1.81	1.20
CG8630	1.09	-1.57
CG11970	-1.43	-1.75
Mtap	-1.98	0.93
CG6497	-1.51	-1.79
Ir41a	-1.04	0.58
Obp19d	-1.18	0.90
CG10659	-0.71	1.41
CG32850	-0.10	-0.97
CG10417	-0.02	-0.35
l(2)tid	-0.39	-0.47
CG7338	0.80	-1.32
CG10899	-1.10	-0.94
CR40341	1.82	0.92
PpD5	0.67	1.01
p53	2.30	-0.28
CG13617	-0.74	-1.03
ald	-0.63	0.72
CG10887	-1.13	-1.97
CG14687	-1.89	-0.95
MESR3	-1.79	0.52
I-t	0.88	0.70
Trn	-1.79	-3.70
CngA	-0.92	-0.24
mask	-1.19	-1.36
Acp53C14c	-0.88	-0.27
ldlCp	0.86	-0.10
CG6908	0.45	0.75
CG30339	1.25	0.59
CG18336	0.74	1.28
Ogg1	0.16	-1.03
Drsl3	1.26	0.71
Ipk2	-1.10	0.10
CG42326	1.43	0.46
CG5742	-0.17	1.07
CG12684	-0.66	0.28
CG14478	-0.60	-0.42
CalpC	0.56	0.97
CG16789	0.68	-0.80
CG32512	-0.85	0.87
CG31128	0.98	0.48
CG7300	-1.12	0.40
CG14523	-0.78	-0.58
natalisin	0.47	-0.52
SMC1	-0.70	1.09
Osi1	-1.94	-0.44
trsn	-1.18	-0.26
CG4537	-0.31	-0.59
Art7	1.19	-1.23
Dic2	-1.59	0.68
fs(1)N	1.14	0.20
Vti1	0.32	-1.04
CG32719	-0.85	0.91
CG5376	1.66	-0.64
CG3760	1.44	0.31
CG14182	1.05	-1.08
gogo	-1.47	-0.85
unc-13-4A	-1.28	0.87
CG18537	-0.31	1.08
CG15253	-1.36	-1.33
timeout	-1.91	-2.48
CG33771	0.89	0.77
ckd	-0.32	1.28
CG15210	-1.27	0.36
CG5080	0.91	-0.68
eIF4E-7	1.06	-0.82
CG8461	-1.27	-0.59
ben	0.28	0.40
Cht12	-0.24	0.22
Nsun2	2.96	-1.20
CG1662	0.50	1.17
CG34445	2.67	-1.14
CG8132	0.55	-1.07
trio	-1.73	-1.10
Rrp40	1.31	0.52
Aats-met	-1.21	0.83
eIF4G	1.42	-1.46
Tango4	0.50	1.61
Apoltp	-0.71	0.64
Lsp1beta	-0.92	0.33
Tsp42A	0.90	-0.90
CG15482	-0.92	-1.32
CG31245	-1.67	0.90
Spase22-23	0.48	-0.93
CG12413	1.01	-1.01
CG10051	-0.90	-0.12
CG32191	0.23	0.78
ham	-1.58	1.02
elB	-0.68	-1.12
CG15744	-0.75	-0.77
CG5885	-0.97	-0.80
wapl	0.95	0.97
Csl4	-0.70	-1.46
beg	0.07	-0.68
CR33221	-1.10	0.84
Tcp-1zeta	0.87	0.46
l(3)87Df	-0.81	-0.59
CG32718	-0.59	0.51
CG33299	-0.32	-0.56
CG34330	-0.62	-0.53
Sep2	-0.70	0.39
CG11406	-0.92	0.39
CG14967	-1.45	1.00
CG13751	0.84	1.24
CG3500	-0.62	-0.79
BHD	-1.06	0.74
Adk2	-1.07	0.82
CG12947	0.50	0.45
CG15330	-1.18	-0.44
CG30275	0.26	-0.58
CaMKI	0.82	1.17
CG6910	0.20	0.76
CG15739	0.53	0.62
CG14787	-0.78	-0.58
CG15044	2.07	1.03
CG14439	-0.84	0.65
sinu	0.48	0.66
CG2453	-1.87	-1.11
CG15873	1.11	-0.32
dnk	1.00	-1.14
CG15202	0.63	0.62
CG14853	2.19	1.04
