target_id	length	eff_length
TRINITY_DN7319_c0_g1_i1	1114	699.297773
TRINITY_DN3002_c0_g1_i1	270	22.553176
TRINITY_DN20_c0_g1_i1	724	418.272119
TRINITY_DN20_c0_g2_i1	2263	1945.834277
TRINITY_DN2367_c0_g1_i1	642	321.244719
TRINITY_DN7176_c0_g1_i1	1711	1314.933426
TRINITY_DN8636_c0_g1_i1	229	0.000000
TRINITY_DN5535_c0_g1_i1	1086	568.810994
TRINITY_DN2018_c0_g1_i1	871	639.128907
TRINITY_DN6750_c0_g1_i1	284	43.217168
TRINITY_DN84_c0_g1_i1	1461	810.805660
TRINITY_DN84_c0_g2_i1	1341	718.411027
TRINITY_DN1830_c0_g1_i1	2217	1539.658896
TRINITY_DN5327_c0_g1_i1	1024	599.528234
TRINITY_DN8909_c0_g1_i1	220	0.000000
TRINITY_DN6651_c0_g1_i1	895	515.907745
TRINITY_DN4328_c0_g1_i1	223	0.000000
TRINITY_DN2841_c0_g1_i1	237	0.000000
TRINITY_DN5588_c0_g1_i1	1575	1147.606680
TRINITY_DN2043_c0_g1_i1	722	405.134577
TRINITY_DN8911_c0_g1_i1	204	0.000000
TRINITY_DN8800_c0_g1_i1	285	0.000000
TRINITY_DN4421_c0_g1_i1	288	29.295640
TRINITY_DN4956_c0_g1_i1	220	0.000000
TRINITY_DN3598_c0_g1_i1	560	207.831385
TRINITY_DN3754_c0_g1_i1	2569	2288.996714
TRINITY_DN8684_c0_g1_i1	314	36.322991
TRINITY_DN238_c0_g1_i1	251	275.338769
TRINITY_DN2583_c0_g1_i1	366	0.000000
TRINITY_DN4566_c0_g1_i1	220	0.000000
TRINITY_DN6849_c0_g1_i1	353	0.000000
TRINITY_DN312_c0_g1_i1	993	573.738791
TRINITY_DN7824_c0_g1_i1	743	391.893287
TRINITY_DN5376_c0_g1_i1	2516	1945.077835
TRINITY_DN168_c0_g1_i1	1873	1288.731827
TRINITY_DN807_c0_g1_i1	671	290.452136
TRINITY_DN807_c0_g2_i1	609	247.632946
TRINITY_DN3738_c0_g1_i1	418	163.370653
TRINITY_DN2415_c0_g1_i1	430	168.491716
TRINITY_DN4915_c0_g1_i1	324	59.792037
TRINITY_DN6498_c0_g1_i1	269	40.640901
TRINITY_DN6723_c0_g1_i1	620	404.623690
TRINITY_DN706_c0_g1_i1	2430	1681.586129
TRINITY_DN706_c0_g2_i1	2431	1684.762029
TRINITY_DN1401_c0_g2_i1	1487	1192.907885
TRINITY_DN1401_c0_g3_i1	2690	2649.726550
TRINITY_DN1401_c0_g1_i1	1248	1233.823804
TRINITY_DN8871_c0_g1_i1	215	0.000000
TRINITY_DN3075_c0_g1_i1	287	0.000000
TRINITY_DN6101_c0_g1_i1	1758	1384.619339
TRINITY_DN5182_c0_g1_i1	601	327.320546
TRINITY_DN7320_c0_g1_i1	1258	898.738501
TRINITY_DN6915_c0_g1_i1	1908	1336.891340
TRINITY_DN129_c0_g1_i1	1549	1409.914667
TRINITY_DN129_c0_g2_i1	598	353.571768
TRINITY_DN8724_c0_g1_i1	257	239.184966
TRINITY_DN8215_c0_g1_i1	490	244.637949
TRINITY_DN1418_c0_g1_i1	447	148.256897
TRINITY_DN1418_c0_g2_i1	1950	1470.914936
TRINITY_DN3015_c0_g1_i1	209	0.000000
TRINITY_DN5766_c0_g1_i1	356	93.085373
TRINITY_DN4265_c0_g1_i1	283	58.885008
TRINITY_DN858_c0_g2_i1	588	0.000000
TRINITY_DN1055_c0_g1_i1	1035	689.542851
TRINITY_DN3648_c0_g1_i1	1725	1256.352390
TRINITY_DN1439_c0_g1_i1	955	818.293027
TRINITY_DN1439_c0_g2_i1	1086	911.564563
TRINITY_DN4104_c0_g1_i1	2227	1984.841592
TRINITY_DN3866_c0_g1_i1	922	556.982927
TRINITY_DN6491_c0_g1_i1	225	0.000000
TRINITY_DN3087_c0_g1_i1	203	0.000000
TRINITY_DN3412_c0_g1_i1	271	31.391544
TRINITY_DN7102_c0_g1_i1	1255	944.133089
TRINITY_DN4490_c0_g1_i1	224	168.674227
TRINITY_DN2438_c0_g1_i1	1788	1378.927083
TRINITY_DN1506_c0_g1_i1	1037	689.947117
TRINITY_DN4140_c0_g1_i1	790	482.250404
TRINITY_DN4790_c0_g1_i1	212	0.000000
TRINITY_DN7308_c0_g1_i1	357	88.695525
TRINITY_DN840_c0_g1_i1	1022	678.937100
TRINITY_DN7324_c0_g1_i1	689	379.794434
TRINITY_DN3503_c0_g1_i1	676	393.373559
TRINITY_DN1992_c0_g1_i1	393	113.114029
TRINITY_DN2145_c0_g1_i1	272	17.765853
TRINITY_DN5056_c0_g1_i1	1185	931.350663
TRINITY_DN1670_c0_g1_i1	2189	2120.037923
TRINITY_DN8668_c0_g1_i1	211	0.000000
TRINITY_DN3830_c0_g1_i1	648	391.768142
TRINITY_DN7732_c0_g1_i1	555	196.142458
TRINITY_DN6416_c0_g1_i1	303	57.607998
TRINITY_DN6443_c0_g1_i1	918	479.122068
TRINITY_DN258_c0_g1_i1	2034	1872.829964
TRINITY_DN3414_c0_g1_i1	1763	1294.134939
TRINITY_DN258_c0_g2_i1	449	155.020693
TRINITY_DN4787_c0_g1_i1	202	0.000000
TRINITY_DN8779_c0_g1_i1	229	326.920568
TRINITY_DN3824_c0_g1_i1	695	413.729223
TRINITY_DN852_c0_g2_i1	1150	890.384786
TRINITY_DN6132_c0_g1_i1	274	0.000000
TRINITY_DN8643_c0_g1_i1	329	0.000000
TRINITY_DN4219_c0_g1_i1	597	239.367463
TRINITY_DN2000_c0_g1_i1	479	172.859150
TRINITY_DN4513_c0_g1_i1	539	317.550676
TRINITY_DN1679_c0_g1_i1	2160	2127.553847
TRINITY_DN1819_c0_g1_i1	2939	2402.512583
TRINITY_DN8595_c0_g1_i1	512	207.679727
TRINITY_DN1896_c0_g1_i1	344	67.651214
TRINITY_DN3437_c0_g1_i1	2882	2595.864275
TRINITY_DN4665_c0_g1_i1	975	667.649938
TRINITY_DN8920_c0_g1_i1	225	0.000000
TRINITY_DN2331_c0_g1_i1	762	405.582873
TRINITY_DN2955_c0_g1_i1	282	41.165251
TRINITY_DN4630_c0_g1_i1	442	189.033347
TRINITY_DN6793_c0_g1_i1	208	0.000000
TRINITY_DN4789_c0_g1_i1	427	170.638024
TRINITY_DN6166_c0_g1_i1	380	92.037116
TRINITY_DN5735_c0_g1_i1	1500	1293.729983
TRINITY_DN4344_c0_g1_i1	371	132.527848
TRINITY_DN8064_c0_g1_i1	1336	931.573055
TRINITY_DN1983_c0_g1_i1	1856	1639.922567
TRINITY_DN8623_c0_g1_i1	278	0.000000
TRINITY_DN835_c0_g1_i1	1373	942.031558
TRINITY_DN4675_c0_g1_i1	264	0.000000
TRINITY_DN296_c0_g1_i1	299	39.669067
TRINITY_DN2010_c0_g1_i1	245	311.110813
TRINITY_DN6782_c0_g1_i1	303	39.591675
TRINITY_DN4337_c0_g1_i1	248	254.182724
TRINITY_DN2399_c0_g1_i1	696	310.013959
TRINITY_DN8117_c0_g1_i1	266	0.000000
TRINITY_DN1875_c0_g1_i1	305	0.000000
TRINITY_DN3715_c0_g1_i1	959	605.158527
TRINITY_DN3896_c0_g1_i1	1525	1032.889961
TRINITY_DN3079_c0_g1_i1	214	0.000000
TRINITY_DN664_c0_g1_i1	1200	806.538922
TRINITY_DN664_c0_g2_i1	1020	663.223637
TRINITY_DN671_c0_g1_i1	1666	1402.863531
TRINITY_DN671_c0_g2_i1	1665	1402.611170
TRINITY_DN2072_c0_g1_i1	1253	702.478606
TRINITY_DN1719_c0_g1_i1	2094	1558.146218
TRINITY_DN848_c0_g1_i1	2463	1993.243756
TRINITY_DN848_c0_g2_i1	1115	804.968866
TRINITY_DN5107_c0_g1_i1	751	646.539261
TRINITY_DN6951_c0_g1_i1	232	244.410556
TRINITY_DN8876_c0_g1_i1	239	0.000000
TRINITY_DN562_c0_g1_i1	530	163.261537
TRINITY_DN8898_c0_g1_i1	263	0.000000
TRINITY_DN3834_c0_g1_i1	221	370.157464
TRINITY_DN135_c0_g1_i1	2390	1872.225218
TRINITY_DN610_c0_g1_i1	1504	1016.301734
TRINITY_DN6505_c0_g1_i1	650	312.361392
TRINITY_DN27_c0_g1_i1	706	538.991362
TRINITY_DN27_c0_g2_i1	1945	1667.288129
TRINITY_DN4763_c0_g1_i1	213	152.806065
TRINITY_DN8251_c0_g1_i1	408	104.920751
TRINITY_DN1441_c0_g1_i1	1552	907.211588
TRINITY_DN4497_c0_g1_i1	264	180.633576
TRINITY_DN7443_c0_g1_i1	1018	896.193909
TRINITY_DN1359_c0_g1_i1	2118	1678.220855
TRINITY_DN1359_c0_g2_i1	276	30.748322
TRINITY_DN37_c0_g1_i1	6118	6688.896768
TRINITY_DN6202_c0_g1_i1	342	0.000000
TRINITY_DN8754_c0_g1_i1	265	0.000000
TRINITY_DN5218_c0_g1_i1	1069	830.892900
TRINITY_DN611_c0_g1_i1	703	351.219263
TRINITY_DN85_c0_g1_i1	1557	1028.569746
TRINITY_DN85_c0_g2_i1	982	413.951698
TRINITY_DN567_c0_g1_i1	483	186.983828
TRINITY_DN567_c0_g2_i1	244	226.385816
TRINITY_DN6585_c0_g1_i1	247	185.336167
TRINITY_DN8601_c0_g1_i1	320	52.753701
TRINITY_DN3621_c0_g1_i1	2106	1890.425519
TRINITY_DN8308_c0_g1_i1	532	181.147992
TRINITY_DN7852_c0_g1_i1	349	93.499218
TRINITY_DN1451_c0_g1_i1	1667	1221.911663
TRINITY_DN1451_c0_g2_i1	567	209.265149
TRINITY_DN1451_c0_g3_i1	510	242.372617
TRINITY_DN5006_c0_g1_i1	246	214.086335
TRINITY_DN103_c0_g1_i1	553	233.705233
TRINITY_DN103_c0_g2_i1	500	202.598394
TRINITY_DN2025_c0_g1_i1	2284	1777.283643
TRINITY_DN1341_c0_g1_i1	3511	3219.828866
TRINITY_DN1190_c0_g1_i1	1638	1151.015751
TRINITY_DN2291_c0_g1_i1	456	197.105073
TRINITY_DN7481_c0_g1_i1	1813	1171.130194
TRINITY_DN6314_c0_g1_i1	525	364.216171
TRINITY_DN8273_c0_g1_i1	221	0.000000
TRINITY_DN7033_c0_g1_i1	2388	2192.678381
TRINITY_DN2503_c0_g1_i1	945	610.308616
TRINITY_DN1552_c0_g2_i1	274	0.000000
TRINITY_DN4470_c0_g1_i1	504	218.557487
TRINITY_DN1109_c0_g1_i1	2575	1932.413426
TRINITY_DN3418_c0_g1_i1	2561	2046.536311
TRINITY_DN5701_c0_g1_i1	719	366.918180
TRINITY_DN3358_c0_g1_i1	684	363.290565
TRINITY_DN5393_c0_g1_i1	262	0.000000
TRINITY_DN6079_c0_g1_i1	237	0.000000
TRINITY_DN2203_c0_g1_i1	731	396.653993
TRINITY_DN11_c0_g1_i1	2156	1810.947544
TRINITY_DN2256_c0_g1_i1	1056	817.500627
TRINITY_DN8711_c0_g1_i1	207	0.000000
TRINITY_DN3106_c0_g1_i1	739	638.500708
TRINITY_DN15_c0_g1_i1	818	765.411066
TRINITY_DN6634_c0_g1_i1	217	0.000000
TRINITY_DN5925_c0_g1_i1	1308	1030.183564
TRINITY_DN6526_c0_g1_i1	417	126.455063
TRINITY_DN1119_c0_g1_i1	1097	1022.437105
TRINITY_DN1119_c0_g2_i1	2156	2073.369679
TRINITY_DN6971_c0_g1_i1	897	562.580654
TRINITY_DN4569_c0_g1_i1	459	173.639720
TRINITY_DN5805_c0_g1_i1	297	47.771513
TRINITY_DN3878_c0_g1_i1	638	0.000000
TRINITY_DN8719_c0_g1_i1	459	177.921350
TRINITY_DN1326_c0_g1_i1	2319	1766.279856
TRINITY_DN1326_c0_g2_i1	727	359.750574
TRINITY_DN3992_c0_g1_i1	214	0.000000
TRINITY_DN3249_c0_g1_i1	649	368.577136
TRINITY_DN7749_c0_g1_i1	505	228.124024
TRINITY_DN7771_c0_g1_i1	1122	1185.284138
TRINITY_DN7397_c0_g1_i1	755	501.611712
TRINITY_DN8398_c0_g1_i1	211	116.254702
TRINITY_DN248_c0_g1_i1	2204	2004.555579
TRINITY_DN402_c0_g1_i1	1942	1632.781543
TRINITY_DN402_c0_g2_i1	1438	1072.059833
TRINITY_DN2878_c0_g1_i1	203	209.638142
TRINITY_DN7009_c0_g1_i1	2333	1882.309627
TRINITY_DN6575_c0_g1_i1	244	258.869288
TRINITY_DN7411_c0_g1_i1	203	0.000000
TRINITY_DN6216_c0_g1_i1	269	30.383390
TRINITY_DN3229_c0_g1_i1	1406	944.043904
TRINITY_DN8679_c0_g1_i1	320	49.926362
TRINITY_DN7727_c0_g1_i1	1416	952.284253
TRINITY_DN8043_c0_g1_i1	502	188.406307
TRINITY_DN7711_c0_g1_i1	2716	3229.122205
TRINITY_DN2719_c0_g1_i1	460	175.039807
TRINITY_DN1353_c0_g1_i1	818	641.774863
TRINITY_DN1353_c0_g1_i2	612	312.286786
TRINITY_DN1353_c0_g2_i1	378	94.328174
TRINITY_DN1271_c0_g1_i1	3226	2750.284197
TRINITY_DN1271_c0_g2_i1	2385	2092.030575
TRINITY_DN7386_c0_g1_i1	2494	2420.348855
TRINITY_DN8029_c0_g1_i1	1307	912.274360
TRINITY_DN5685_c0_g1_i1	1378	956.367523
TRINITY_DN7636_c0_g1_i1	424	116.060361
TRINITY_DN1698_c0_g1_i1	1497	1386.587279
TRINITY_DN3950_c0_g1_i1	1829	1534.879277
TRINITY_DN6718_c0_g1_i1	490	185.704246
TRINITY_DN8885_c0_g1_i1	338	74.254962
TRINITY_DN169_c0_g1_i1	1991	1327.850862
TRINITY_DN169_c0_g2_i1	1955	1306.359038
TRINITY_DN3248_c0_g1_i1	958	1203.411531
TRINITY_DN7334_c0_g1_i1	3169	2318.474196
TRINITY_DN8188_c0_g1_i1	863	516.854739
TRINITY_DN4972_c0_g1_i1	225	0.000000
TRINITY_DN4704_c0_g1_i1	678	369.026659
TRINITY_DN8209_c0_g1_i1	1235	773.792270
TRINITY_DN8274_c0_g1_i1	357	90.443785
TRINITY_DN6369_c0_g1_i1	508	288.645288
TRINITY_DN5812_c0_g1_i1	796	455.317522
TRINITY_DN7482_c0_g1_i1	231	0.000000
TRINITY_DN6259_c0_g1_i1	442	172.559108
TRINITY_DN2177_c0_g1_i1	416	153.827804
TRINITY_DN1985_c0_g1_i1	323	53.200502
TRINITY_DN8798_c0_g1_i1	242	244.626872
TRINITY_DN2700_c0_g1_i1	1014	734.360504
TRINITY_DN6413_c0_g1_i1	234	288.847756
TRINITY_DN2469_c0_g1_i1	370	142.158038
TRINITY_DN6367_c0_g1_i1	205	181.482465
TRINITY_DN1315_c0_g1_i1	679	335.419170
TRINITY_DN1315_c0_g1_i2	763	414.973281
TRINITY_DN2432_c0_g1_i1	263	0.000000
TRINITY_DN3734_c0_g1_i1	960	534.200143
TRINITY_DN7592_c0_g1_i1	230	0.000000
TRINITY_DN2348_c0_g1_i1	2883	2591.512036
TRINITY_DN2283_c0_g1_i1	690	463.189608
TRINITY_DN2134_c0_g1_i1	496	238.725915
TRINITY_DN8859_c0_g1_i1	227	200.844581
TRINITY_DN3513_c0_g1_i1	862	749.792253
TRINITY_DN8406_c0_g1_i1	559	303.413734
TRINITY_DN7521_c0_g1_i1	837	584.573175
TRINITY_DN7019_c0_g1_i1	328	101.861162
TRINITY_DN590_c0_g1_i1	422	182.485812
TRINITY_DN590_c0_g2_i1	367	121.793334
TRINITY_DN3978_c0_g1_i1	224	101.261791
TRINITY_DN6113_c0_g1_i1	246	130.752798
TRINITY_DN5197_c0_g1_i1	1133	825.780227
TRINITY_DN3107_c0_g1_i1	906	623.667658
TRINITY_DN919_c0_g1_i1	992	591.404834
TRINITY_DN919_c0_g2_i1	991	590.471388
TRINITY_DN4863_c0_g1_i1	439	145.768694
TRINITY_DN6963_c0_g1_i1	1534	1184.078751
TRINITY_DN5798_c0_g1_i1	224	0.000000
TRINITY_DN243_c0_g1_i1	587	283.021742
TRINITY_DN243_c0_g2_i1	605	301.782790
TRINITY_DN6192_c0_g1_i1	628	453.405043
TRINITY_DN5082_c0_g1_i1	398	141.777403
TRINITY_DN960_c0_g1_i1	1213	791.979842
TRINITY_DN960_c0_g2_i1	925	536.128176
TRINITY_DN1809_c0_g1_i1	690	495.983190
TRINITY_DN4806_c0_g1_i1	253	242.972846
TRINITY_DN2684_c0_g1_i1	239	289.997644
TRINITY_DN2071_c0_g1_i1	927	500.893462
TRINITY_DN7834_c0_g1_i1	1071	712.843178
TRINITY_DN1694_c0_g1_i1	330	50.819432
TRINITY_DN385_c0_g1_i1	868	554.741657
TRINITY_DN385_c0_g2_i1	867	555.398987
TRINITY_DN7139_c0_g1_i1	487	211.240854
TRINITY_DN3944_c0_g1_i1	369	0.000000
TRINITY_DN641_c0_g1_i1	2897	2474.916757
TRINITY_DN641_c0_g2_i1	1898	1510.855994
TRINITY_DN5381_c0_g1_i1	2286	1797.166618
TRINITY_DN2833_c0_g1_i1	244	210.540636
TRINITY_DN2358_c0_g1_i1	332	0.000000
TRINITY_DN6635_c0_g1_i1	322	0.000000
TRINITY_DN1523_c0_g1_i1	2575	2721.014536
TRINITY_DN4927_c0_g1_i1	304	62.821856
TRINITY_DN6884_c0_g1_i1	205	0.000000
TRINITY_DN198_c0_g1_i1	1370	1174.595503
TRINITY_DN198_c0_g2_i1	1663	1456.588006
TRINITY_DN6911_c0_g1_i1	854	485.926741
TRINITY_DN2757_c0_g1_i1	716	340.146766
TRINITY_DN1373_c0_g1_i1	3125	2567.458446
TRINITY_DN604_c0_g2_i1	1245	873.762432
TRINITY_DN2103_c0_g1_i1	286	53.187578
TRINITY_DN1388_c0_g1_i1	732	467.365721
TRINITY_DN1388_c0_g1_i3	626	424.479028
TRINITY_DN1388_c0_g1_i2	743	413.535278
TRINITY_DN1388_c0_g1_i4	637	364.471930
TRINITY_DN4822_c0_g1_i1	310	46.995948
TRINITY_DN4144_c0_g1_i1	838	394.241505
TRINITY_DN8782_c0_g1_i1	254	0.000000
TRINITY_DN4726_c0_g1_i1	558	265.098174
TRINITY_DN5532_c0_g1_i1	219	152.178854
TRINITY_DN5497_c0_g1_i1	1888	1432.186976
TRINITY_DN3564_c0_g1_i1	493	0.000000
TRINITY_DN4202_c0_g1_i1	701	468.027967
TRINITY_DN4456_c0_g1_i1	346	67.208157
TRINITY_DN8374_c0_g1_i1	267	0.000000
TRINITY_DN3998_c0_g1_i1	1076	752.951548
TRINITY_DN7455_c0_g1_i1	1524	1141.550505
TRINITY_DN6747_c0_g1_i1	468	146.297153
TRINITY_DN2512_c0_g1_i1	497	244.372378
TRINITY_DN7799_c0_g1_i1	677	488.344681
TRINITY_DN5405_c0_g1_i1	1156	807.039826
TRINITY_DN6531_c0_g1_i1	206	0.000000
TRINITY_DN601_c0_g1_i1	1518	973.866704
TRINITY_DN601_c0_g2_i1	1574	1031.914854
TRINITY_DN2523_c0_g1_i1	473	243.627370
TRINITY_DN3596_c0_g1_i1	220	0.000000
TRINITY_DN3975_c0_g1_i1	1617	1424.986042
TRINITY_DN8650_c0_g1_i1	280	29.858629
TRINITY_DN3712_c0_g1_i1	505	264.610573
TRINITY_DN8840_c0_g1_i1	235	0.000000
TRINITY_DN7021_c0_g1_i1	998	671.310591
TRINITY_DN5089_c0_g1_i1	1049	911.813374
TRINITY_DN1106_c0_g1_i1	443	225.191982
TRINITY_DN4679_c0_g1_i1	446	274.004703
TRINITY_DN8369_c0_g1_i1	298	53.017168
TRINITY_DN3833_c0_g1_i1	2684	2204.197117
TRINITY_DN6965_c0_g1_i1	1356	842.142180
TRINITY_DN6167_c0_g1_i1	335	0.000000
TRINITY_DN723_c0_g1_i1	2226	2073.290244
TRINITY_DN723_c0_g2_i1	2162	2037.763380
TRINITY_DN5116_c0_g1_i1	781	499.482786
TRINITY_DN8579_c0_g1_i1	439	148.133317
TRINITY_DN7738_c0_g1_i1	2852	2367.978515
TRINITY_DN7104_c0_g1_i1	936	500.725155
TRINITY_DN7403_c0_g1_i1	418	176.616696
TRINITY_DN6886_c0_g1_i1	223	0.000000
TRINITY_DN1741_c0_g1_i1	2661	2366.220085
TRINITY_DN7733_c0_g1_i1	2469	2043.277059
TRINITY_DN5663_c0_g1_i1	341	79.912212
TRINITY_DN2760_c0_g1_i1	267	0.000000
TRINITY_DN7593_c0_g1_i1	587	294.922425
TRINITY_DN6938_c0_g1_i1	225	198.164844
TRINITY_DN586_c0_g1_i1	1211	878.197833
TRINITY_DN586_c0_g2_i1	1379	1000.343158
TRINITY_DN7510_c0_g1_i1	1197	867.468888
TRINITY_DN991_c0_g1_i1	1787	1605.358081
TRINITY_DN1233_c0_g1_i1	850	577.789655
TRINITY_DN1233_c0_g2_i1	849	577.562136
TRINITY_DN4411_c0_g1_i1	435	111.146636
TRINITY_DN3506_c0_g1_i1	1615	1155.161750
TRINITY_DN5155_c0_g1_i1	1306	1038.353936
TRINITY_DN5354_c0_g1_i1	1864	1353.618703
TRINITY_DN2870_c0_g1_i1	485	220.864321
TRINITY_DN4967_c0_g1_i1	202	232.102899
TRINITY_DN4010_c0_g1_i1	795	512.412093
TRINITY_DN4212_c0_g1_i1	224	0.000000
TRINITY_DN6044_c0_g1_i1	202	143.057483
TRINITY_DN8460_c0_g1_i1	314	0.000000
TRINITY_DN4232_c0_g1_i1	810	448.600680
TRINITY_DN8598_c0_g1_i1	558	291.032332
TRINITY_DN6681_c0_g1_i1	205	0.000000
TRINITY_DN1387_c0_g2_i1	961	679.060252
TRINITY_DN1387_c0_g2_i2	1058	797.454522
TRINITY_DN1387_c0_g1_i1	836	579.903367
TRINITY_DN8566_c0_g1_i1	379	128.032752
TRINITY_DN8486_c0_g1_i1	316	71.634529
TRINITY_DN4713_c0_g1_i1	224	0.000000
TRINITY_DN5520_c0_g1_i1	207	0.000000
TRINITY_DN3623_c0_g1_i1	1242	879.816306
TRINITY_DN4296_c0_g1_i1	2215	1733.871811
TRINITY_DN2734_c0_g1_i1	859	431.457406
TRINITY_DN6148_c0_g1_i1	498	233.657635
TRINITY_DN8227_c0_g1_i1	673	294.785677
TRINITY_DN1750_c0_g1_i1	3547	2895.113662
TRINITY_DN5256_c0_g1_i1	486	195.081018
TRINITY_DN1521_c0_g1_i1	1536	1100.924943
TRINITY_DN1521_c0_g2_i1	1575	1150.983498
TRINITY_DN6187_c0_g1_i1	515	207.961173
TRINITY_DN1015_c0_g1_i1	1460	1073.353649
TRINITY_DN1015_c0_g2_i1	614	338.483045
TRINITY_DN3922_c0_g1_i1	613	375.051460
TRINITY_DN4008_c0_g1_i1	1868	1481.664914
TRINITY_DN2652_c0_g1_i1	355	0.000000
TRINITY_DN8473_c0_g1_i1	445	165.892051
TRINITY_DN2150_c0_g1_i1	374	159.425241
TRINITY_DN3137_c0_g1_i1	3922	3088.405243
TRINITY_DN366_c0_g1_i1	1306	1039.963018
TRINITY_DN366_c0_g2_i1	2855	2544.856378
TRINITY_DN3023_c0_g1_i1	253	0.000000
TRINITY_DN6645_c0_g1_i1	325	0.000000
TRINITY_DN3069_c0_g1_i1	262	215.661947
TRINITY_DN7691_c0_g1_i1	1538	1164.093987
TRINITY_DN3716_c0_g1_i1	1565	1690.079034
TRINITY_DN6294_c0_g1_i1	359	69.189026
TRINITY_DN1112_c0_g1_i1	533	225.603361
TRINITY_DN1112_c0_g2_i1	2019	1551.686570
TRINITY_DN1235_c2_g1_i1	1264	1149.466626
TRINITY_DN3340_c0_g1_i1	3023	2412.665696
TRINITY_DN2994_c0_g1_i1	342	55.923076
TRINITY_DN1691_c0_g1_i1	1808	1180.764563
TRINITY_DN7793_c0_g1_i1	1358	951.168419
TRINITY_DN7060_c0_g1_i1	1781	1608.498963
TRINITY_DN6992_c0_g1_i1	1101	634.661764
TRINITY_DN4302_c0_g1_i1	420	227.997004
TRINITY_DN5425_c0_g1_i1	1755	1615.383565
TRINITY_DN8498_c0_g1_i1	209	0.000000
TRINITY_DN5044_c0_g1_i1	1734	1280.302451
TRINITY_DN4598_c0_g1_i1	769	425.598074
TRINITY_DN2579_c0_g1_i1	409	0.000000
TRINITY_DN4894_c0_g1_i1	229	0.000000
TRINITY_DN3704_c0_g1_i1	1350	1262.282214
TRINITY_DN180_c0_g2_i1	3361	2707.854977
TRINITY_DN8278_c0_g1_i1	1197	931.062088
TRINITY_DN6102_c0_g1_i1	430	145.944389
TRINITY_DN4902_c0_g1_i1	281	0.000000
TRINITY_DN2498_c0_g1_i1	277	0.000000
TRINITY_DN5355_c0_g1_i1	413	153.523058
TRINITY_DN3842_c0_g1_i1	262	0.000000
TRINITY_DN326_c0_g1_i1	1740	1272.135301
TRINITY_DN326_c0_g2_i1	1741	1267.486859
TRINITY_DN2912_c0_g1_i1	205	0.000000
TRINITY_DN4486_c0_g1_i1	707	335.991247
TRINITY_DN1621_c0_g1_i1	1824	3127.693985
TRINITY_DN5865_c0_g1_i1	749	520.445394
TRINITY_DN7878_c0_g1_i1	760	378.723782
TRINITY_DN8416_c0_g1_i1	555	164.932421
TRINITY_DN7913_c0_g1_i1	760	392.796832
TRINITY_DN5316_c0_g1_i1	4273	3353.393181
TRINITY_DN608_c0_g1_i1	343	62.908238
